linea,ramal,stop_name,lat,lon,type
Belgrano Norte,Grand Bourg,Retiro,-34.589842152388506,-58.37448621453611,tren
Belgrano Norte,Grand Bourg,Saldias,-34.57530210184635,-58.39931291406788,tren
Belgrano Norte,Grand Bourg,Ciudad Universitaria,-34.54310692300697,-58.44779899349659,tren
Belgrano Norte,Grand Bourg,Aristóbulo del Valle,-34.53748682730214,-58.47789412332361,tren
Belgrano Norte,Grand Bourg,Blas Parera Y Ruta Nacional 9,-34.54421252622074,-58.49505127835214,tren
Belgrano Norte,Grand Bourg,M. M. Padilha,-34.543362365387644,-58.50083231911838,tren
Belgrano Norte,Grand Bourg,Florida,-34.53707942201573,-58.51320344368852,tren
Belgrano Norte,Grand Bourg,Munro,-34.53176009194987,-58.523614893785016,tren
Belgrano Norte,Grand Bourg,Carapachay,-34.52871135940539,-58.5372566166816,tren
Belgrano Norte,Grand Bourg,Villa Adelina,-34.523660072345294,-58.54607635069154,tren
Belgrano Norte,Grand Bourg,Bulogne Sur Mer,-34.50885560588542,-58.56538796173401,tren
Belgrano Norte,Grand Bourg,Vice Alte. Montes,-34.50400681795156,-58.62003346120821,tren
Belgrano Norte,Grand Bourg,Don Torcuato,-34.502956979566946,-58.64188027717036,tren
Belgrano Norte,Grand Bourg,A. Sourdeaux,-34.502885815723374,-58.66652157497593,tren
Belgrano Norte,Grand Bourg,Villa de Mayo,-34.50359989688513,-58.68070158488783,tren
Belgrano Norte,Grand Bourg,Los Polvorines,-34.49914184101544,-58.69383935877939,tren
Belgrano Norte,Grand Bourg,Ing. Pablo Nogués,-34.49373226031667,-58.70644772869876,tren
Belgrano Norte,Grand Bourg,Grand Bourg,-34.48530250697934,-58.725179176219235,tren
Belgrano Norte,Villa Rosa,Tierras Altas,-34.4782750138425,-58.74026482235437,tren
Belgrano Norte,Villa Rosa,Tortuguitas,-34.47077408938978,-58.75781879751502,tren
Belgrano Norte,Villa Rosa,M. Alberti,-34.46284790003312,-58.7756481099875,tren
Belgrano Norte,Villa Rosa,Del Viso,-34.453579217697396,-58.796145166827415,tren
Belgrano Norte,Villa Rosa,Villa Rosa,-34.41684562309018,-58.87163837581165,tren
