lat,lon,suburb,published_suburb
-34.5736,-58.4424,Colegiales,Colegiales
-34.6066,-58.4305,Almagro,Almagro
-34.5741,-58.4918,Villa Urquiza,Villa Urquiza
-34.6318,-58.4207,Boedo,Boedo
-34.6072,-58.43,Almagro,Almagro
-34.6086,-58.4208,Almagro,Almagro
-34.6218,-58.3714,San Telmo,San Telmo
-34.5996,-58.4041,Balvanera,Balvanera
-34.5909,-58.5073,Villa Devoto,Villa Devoto
-34.5886,-58.4216,Palermo,Palermo
-34.6085,-58.3781,Monserrat,Monserrat
-34.6273,-58.4309,Caballito,Caballito
-34.6063,-58.4203,Almagro,Almagro
-34.6061,-58.3989,Balvanera,Balvanera
-34.5842,-58.4724,Villa Ortúzar,Villa Ortúzar
-34.5908,-58.4051,Recoleta,Recoleta
-34.5719,-58.4886,Villa Urquiza,Villa Urquiza
-34.5925,-58.4113,Recoleta,Recoleta
-34.5842,-58.4201,Palermo,Palermo
-34.5976,-58.4167,Palermo,Palermo
-34.5977,-58.4266,Villa Crespo,Villa Crespo
-34.5957,-58.4532,Chacarita,Chacarita
-34.6031,-58.3993,Balvanera,Balvanera
-34.5968,-58.4426,Villa Crespo,Villa Crespo
-34.5961,-58.4064,Recoleta,Recoleta
-34.6088,-58.4491,Caballito,Caballito
-34.5916,-58.4227,Palermo,Palermo
-34.6005,-58.4312,Villa Crespo,Villa Crespo
-34.5991,-58.4133,Almagro,Almagro
-34.5524,-58.4978,Saavedra,Saavedra
-34.5984,-58.4843,Villa del Parque,Villa del Parque
-34.851,-58.0691,Villa Elisa,Villa Elisa
-34.5943,-58.3834,Retiro,Retiro
-34.6118,-58.4315,Caballito,Caballito
-34.6071,-58.4672,Villa General Mitre,Villa General Mitre
-34.6031,-58.4887,Villa del Parque,Villa del Parque
-34.6082,-58.4493,Caballito,Caballito
-34.6141,-58.4173,Almagro,Almagro
-34.5573,-58.4456,Belgrano,Belgrano
-34.5742,-58.4821,Villa Urquiza,Villa Urquiza
-34.5617,-58.4514,Belgrano,Belgrano
-34.6598,-58.5168,Mataderos,Mataderos
-34.5816,-58.4484,Chacarita,Chacarita
-34.6072,-58.4417,Caballito,Caballito
-34.5933,-58.4047,Recoleta,Recoleta
-34.6131,-58.3816,Monserrat,Monserrat
-34.9314,-57.9969,La Cumbre,La Cumbre
-34.5823,-58.4322,Palermo,Palermo
-34.6145,-58.4203,Almagro,Almagro
-34.5493,-58.4777,Saavedra,Saavedra
-34.9222,-57.9604,La Plata,La Plata
-34.6084,-58.4156,Almagro,Almagro
-34.6025,-58.4363,Villa Crespo,Villa Crespo
-34.5989,-58.4187,Almagro,Almagro
-34.6237,-58.5067,Monte Castro,Monte Castro
-34.5942,-58.4412,Villa Crespo,Villa Crespo
-34.5637,-58.4686,Belgrano,Belgrano
-34.5534,-58.4644,Núñez,Núñez
-34.6245,-58.4661,Flores,Flores
-34.5975,-58.4198,Palermo,Palermo
-34.6369,-58.4883,Vélez Sarsfield,Vélez Sarsfield
-34.9125,-57.9473,La Plata,La Plata
-34.5742,-58.4803,Villa Urquiza,Villa Urquiza
-34.5902,-58.4346,Palermo,Palermo
-34.6213,-58.444,Caballito,Caballito
-34.6039,-58.4057,Balvanera,Balvanera
-34.566,-58.4708,Belgrano,Belgrano
-34.5673,-58.4843,Villa Urquiza,Villa Urquiza
-34.6403,-58.4236,Nueva Pompeya,Nueva Pompeya
-34.6257,-58.3712,San Telmo,San Telmo
-34.6336,-58.469,Flores,Flores
-34.6149,-58.4597,Flores,Flores
-34.6281,-58.4293,Parque Chacabuco,Parque Chacabuco
-34.9207,-57.9671,La Plata,La Plata
-34.6016,-58.4341,Villa Crespo,Villa Crespo
-34.5548,-58.4496,Belgrano,Belgrano
-34.5535,-58.4717,Núñez,Núñez
-34.6136,-58.4069,Balvanera,Balvanera
-34.6234,-58.3843,Constitución,Constitución
-34.6269,-58.4915,Vélez Sarsfield,Vélez Sarsfield
-34.5663,-58.4355,Palermo,Palermo
-34.6308,-58.4865,Vélez Sarsfield,Vélez Sarsfield
-34.5793,-58.4558,Chacarita,Chacarita
-34.5642,-58.4604,Belgrano,Belgrano
-34.6913,-58.469,Villa Riachuelo,Villa Riachuelo
-34.5838,-58.4018,Recoleta,Recoleta
-34.6159,-58.4406,Caballito,Caballito
-34.5969,-58.4405,Villa Crespo,Villa Crespo
-34.9479,-57.9536,La Plata,La Plata
-34.9144,-57.9401,La Plata,La Plata
-34.5878,-58.4063,Recoleta,Recoleta
-34.6169,-58.4654,Flores,Flores
-34.5617,-58.4824,Villa Urquiza,Villa Urquiza
-34.5973,-58.4456,Villa Crespo,Villa Crespo
-34.5382,-58.4693,Núñez,Núñez
-34.5745,-58.4752,Villa Urquiza,Villa Urquiza
-34.6153,-58.3963,Balvanera,Balvanera
-34.6072,-58.469,Villa General Mitre,Villa General Mitre
-34.6223,-58.5056,Monte Castro,Monte Castro
-34.6243,-58.45,Caballito,Caballito
-34.5511,-58.484,Saavedra,Saavedra
-34.6077,-58.4306,Caballito,Caballito
-34.6028,-58.4436,Villa Crespo,Villa Crespo
-34.6099,-58.4214,Almagro,Almagro
-34.6034,-58.5079,Villa Devoto,Villa Devoto
-34.6197,-58.4152,Almagro,Almagro
-34.6252,-58.468,Flores,Flores
-34.5822,-58.4727,Villa Ortúzar,Villa Ortúzar
-34.6083,-58.4162,Almagro,Almagro
-34.6172,-58.3903,Monserrat,Monserrat
-32.9523,-60.6285,Martin,Martin
-34.9041,-57.949,La Plata,La Plata
-34.5792,-58.4557,Chacarita,Chacarita
-34.6038,-58.4631,Villa General Mitre,Villa General Mitre
-34.5545,-58.4916,Saavedra,Saavedra
-34.609,-58.4347,Caballito,Caballito
-34.9144,-57.9388,La Plata,La Plata
-34.6227,-58.4626,Flores,Flores
-34.6251,-58.4529,Caballito,Caballito
-34.5964,-58.4423,Villa Crespo,Villa Crespo
-34.5801,-58.4474,Colegiales,Colegiales
