column,feature_importance
bathrooms,0.39438739794195987
surface_total,0.17485130389239695
price_m2,0.14359288500875889
prom_price_depto,0.13588031900400427
surface_covered,0.0804960193585817
lon,0.033899329227243064
rooms,0.016585057850993706
is_coche,0.004255191666750395
bedrooms,0.0025469484026514107
suburb_puerto madero,0.0020861154348197713
is_cochera,0.002060363446811644
is_amenities,0.0020545680225108297
suburb_palermo,0.001975905912423708
lat,0.001748689159101909
is_gimnasio,0.0014307974138622337
is_piscina,0.0007686219297787154
is_cocheras,0.0007636776112868453
prom_price_medialuna,0.00028057266197631104
suburb_is_published,0.00010187804950255565
property_type,9.445930697039577e-05
suburb_villa devoto,3.664846377294151e-05
is_cochera fija,2.9900951470253444e-05
suburb_canitas,2.1966149755555063e-05
is_pileta,1.1504201365255103e-05
is_jardin,7.737089270478415e-06
suburb_san telmo,6.773266827910695e-06
suburb_tribunales,6.207045116743251e-06
suburb_caballito,4.713826378866728e-06
is_cochera doble,4.245851530493242e-06
is_baulera,3.443527712380391e-06
is_expensas,3.154944458511066e-06
suburb_retiro,1.8402604725472588e-06
published_suburb_plata,1.7631194830307411e-06
published_suburb_fincas hudson,0.0
published_suburb_monte chingolo,0.0
published_suburb_nan,0.0
published_suburb_palermo chico,0.0
published_suburb_palermo hollywood,0.0
published_suburb_palermo soho,0.0
published_suburb_fincas iraola,0.0
published_suburb_palermo viejo,0.0
published_suburb_pato,0.0
published_suburb_pineiro,0.0
published_suburb_gorina,0.0
published_suburb_glew,0.0
published_suburb_ezpeleta,0.0
published_suburb_platanos,0.0
published_suburb_ezeiza,0.0
published_suburb_quilmes,0.0
published_suburb_rafael calzada,0.0
published_suburb_ranelagh,0.0
published_suburb_remedios escalada,0.0
published_suburb_ex ponderosa,0.0
published_suburb_monte,0.0
published_suburb_melchor romero,0.0
published_suburb_manuel b gonnet,0.0
published_suburb_luis guillon,0.0
published_suburb_gerli,0.0
published_suburb_florencio varela,0.0
published_suburb_greenville polo resort,0.0
published_suburb_guernica,0.0
published_suburb_guillermo hudson,0.0
published_suburb_san carlos,0.0
published_suburb_haras sur i,0.0
published_suburb_hornos,0.0
published_suburb_ingeniero juan allan,0.0
published_suburb_jose hernandez,0.0
published_suburb_jose marmol,0.0
published_suburb_laguna azul,0.0
published_suburb_fincas san vicente,0.0
published_suburb_fincas iraola ii,0.0
published_suburb_lanus,0.0
published_suburb_lanus oeste,0.0
published_suburb_llavallol,0.0
published_suburb_lomas zamora,0.0
published_suburb_longchamps,0.0
published_suburb_ringuelet,0.0
published_suburb_valentin alsina,0.0
published_suburb_san francisco solano,0.0
is_cochera cubierta,0.0
n_notables,0.0
n_supernotables,0.0
is_guardacoche,0.0
is_semipiso,0.0
is_semi piso,0.0
is_impecable,0.0
is_privado,0.0
is_luminoso,0.0
is_luz,0.0
is_sol,0.0
is_cochera descubierta,0.0
coffe_price_min,0.0
is_cochera semicubierta,0.0
is_cochera triple,0.0
is_cochera individual,0.0
is_cochera privada,0.0
is_cochera subterranea,0.0
is_cochera subterránea,0.0
is_cochera subterraneo,0.0
is_cochera subterráneo,0.0
is_cochera techada,0.0
is_cochera cubierto,0.0
coffe_price_max,0.0
coffe_price,0.0
published_suburb_san jose,0.0
published_suburb_villa dominico,0.0
published_suburb_san vicente,0.0
published_suburb_sarandi,0.0
published_suburb_sourigues,0.0
published_suburb_temperley,0.0
published_suburb_terralagos,0.0
published_suburb_tolosa,0.0
published_suburb_tristan suarez,0.0
published_suburb_turdera,0.0
published_suburb_union,0.0
published_suburb_don bosco,0.0
published_suburb_villa elisa,0.0
n_closest,0.0
published_suburb_villa elvira,0.0
published_suburb_villa espana,0.0
published_suburb_villa florida,0.0
published_suburb_villa vatteone,0.0
published_suburb_wilde,0.0
closest_transport,0.0
n_transports,0.0
closest_hospital,0.0
n_hospitals,0.0
dist_to_closest,0.0
published_suburb_don orione,0.0
ad_type,0.0
published_suburb_dock sud,0.0
suburb_esteban echeverria,0.0
suburb_boedo,0.0
suburb_canuelas,0.0
suburb_catalinas,0.0
suburb_centro microcentro,0.0
suburb_chacarita,0.0
suburb_coghlan,0.0
suburb_colegiales,0.0
suburb_congreso,0.0
suburb_constitucion,0.0
suburb_distrito audiovisual,0.0
suburb_ezeiza,0.0
suburb_berazategui,0.0
suburb_florencio varela,0.0
suburb_flores,0.0
suburb_floresta,0.0
suburb_lanus,0.0
suburb_liniers,0.0
suburb_lomas zamora,0.0
suburb_mataderos,0.0
suburb_monserrat,0.0
suburb_monte castro,0.0
suburb_nan,0.0
suburb_boca,0.0
suburb_belgrano,0.0
suburb_parque avellaneda,0.0
is_reciclado,0.0
operation_type,0.0
is_parrilla,0.0
is_quincho,0.0
is_sum,0.0
is_spa,0.0
is_garage,0.0
is_lavadero,0.0
is_patio,0.0
is_premium,0.0
is_retasado,0.0
is_nuevo,0.0
suburb_barrio norte,0.0
province_Buenos Aires,0.0
province_Ciudad Autonoma de Buenos Aires,0.0
suburb_,0.0
suburb_abasto,0.0
suburb_agronomia,0.0
suburb_almagro,0.0
suburb_almirante brown,0.0
suburb_avellaneda,0.0
suburb_balvanera,0.0
suburb_barracas,0.0
suburb_nunez,0.0
suburb_parque centenario,0.0
published_suburb_crucecita,0.0
published_suburb_barrio cerrado ombues hudson,0.0
published_suburb_abril club campo,0.0
published_suburb_adrogue,0.0
published_suburb_alejandro korn,0.0
published_suburb_alejandro petion,0.0
published_suburb_altos hudson i,0.0
published_suburb_altos hudson ii,0.0
